Time,Open,High,Low,Last,Change,%Chg,Volume
08/13/2021,44451.86,47504.35,43945.01,47408.91,2965.1,+6.67%,816106176
08/12/2021,46419.18,46420.26,43955.05,44443.81,-1975.58,-4.26%,898441728
08/11/2021,45546.89,46604.22,45403.28,46419.39,864.14,+1.90%,690174976
08/10/2021,45635.53,46330.68,44848.17,45555.25,-68.53,-0.15%,0
08/09/2021,42771.14,46310.1,42582.58,45623.78,2855.41,+6.68%,0
08/06/2021,40589.89,42886,40080.71,42768.37,2297.81,+5.68%,0
08/05/2021,39514.56,41155.95,37666.01,40470.56,957.84,+2.42%,688647488
08/04/2021,38303.06,39754.42,37745.5,39512.72,1248.26,+3.26%,566917952
08/03/2021,39060.4,39536.29,37925.78,38264.46,-801.89,-2.05%,669802240
08/02/2021,40390.6,42296.22,38867.79,39066.35,-1312.85,-3.25%,738310592
07/30/2021,39627.44,40697.17,38476.47,40379.2,751.76,+1.90%,610832896
07/29/2021,39876.61,40428.77,39474.94,39627.44,-222.39,-0.56%,904491392
07/28/2021,37981.92,40655.49,37965.98,39849.83,1867.91,+4.92%,0
07/27/2021,38194.77,38746.72,36546.73,37981.92,-299.54,-0.78%,163015184
07/26/2021,32369.45,40247.2,32316.38,38281.46,5910.27,+18.26%,0
07/23/2021,32168.26,32703.4,32121.22,32371.19,202.93,+0.63%,347082880
07/22/2021,31681.12,32446.19,31672.08,32168.26,485.37,+1.53%,653600896
07/21/2021,29755.69,32439.11,29543.07,31682.89,1923.34,+6.46%,629402816
07/20/2021,30839.18,31164.51,29482.24,29759.55,-1079.63,-3.50%,723601984
07/19/2021,31665.32,32230.14,30603.49,30839.18,-826.14,-2.61%,393036736
07/16/2021,31759.64,32158.74,31165.7,31665.32,-94.41,-0.30%,451456384
07/15/2021,32817.49,33070.48,31258.69,31759.73,-1057.74,-3.22%,436178144
07/14/2021,32560.42,32955.19,31815.48,32817.47,257.24,+0.79%,480463840
07/13/2021,32983.9,33645.06,32374.7,32560.23,-407.35,-1.24%,533281312
07/12/2021,33529.22,34499.99,32773.93,32967.58,-561.64,-1.68%,396627776
07/09/2021,32801.05,33631.58,32376.82,33529.22,728.17,+2.22%,530211392
07/08/2021,34530.94,34530.94,32114.69,32801.05,-1729.89,-5.01%,698874368
07/07/2021,33954.85,35022.27,33652.51,34530.94,576.09,+1.70%,504445152
07/06/2021,33836.76,35096.01,33627.95,33954.85,118.09,+0.35%,713629824
07/05/2021,33112.26,35952.18,33095.3,33836.76,724.5,+2.19%,824405504
07/02/2021,33384.27,33919.24,32745.15,33112.26,-273.28,-0.82%,652281600
07/01/2021,34543.69,35172.96,32871.88,33385.54,-1158.04,-3.35%,880972608
06/30/2021,36184.13,36303.55,34128,34543.58,-1640.55,-4.53%,911385024
06/29/2021,34693.21,36454.12,34151.03,36184.13,1490.92,+4.30%,0
06/28/2021,32229.09,35188.49,30173.29,34693.21,2464.18,+7.65%,0
06/25/2021,34913.27,35380.47,31543.59,32229.03,-2684.24,-7.69%,0
06/24/2021,33000.85,35238.61,32383.05,34913.27,1912.42,+5.80%,0
06/23/2021,32862.74,34729.18,31792.03,33000.85,145.53,+0.44%,0
06/22/2021,32580.43,33172.61,28916.53,32855.32,274.99,+0.84%,0
06/21/2021,35491.5,36344.06,31891.6,32580.33,-2911.17,-8.20%,0
